locale,key,value
pl_PL,recommend_error,"Nie mogliśmy znaleźć dla ciebie tekstu. Spróbuj ponownie!"
pl_PL,recommend_header,"Rekomendowany tekst"
pl_PL,description,"To narzedzie pozwoli ci znaleźć tekst po angielsku na odpowiednim poziomie. Po prostu wprowadź napisany przez siebie tekst, a my ci polecimy artykuł po angielsku. Możesz pisać o dowolnej tematyce, jednak zalecamy, abyś pisał o czymś, co Cię interesuje: sport, sztuka, nauka itp. Poinformujemy Cię też o Twoim poziomie angielskiego. Aby uzyskać dokładniejsze wyniki, staraj się przesłać tekst składający się z 200 słów lub więcej. \nMiłej zabawy!"
pl_PL,type_here,"Pisz tutaj"
pl_PL,level_message,"Poziom twojego tekstu to: "
pl_PL,level_error,"Wprowadziłeś/aś pusty tekst!"
pl_PL,generate_text,"Poleć tekst!"
pl_PL,generate_another,"Poleć kolejny tekst!"
pl_PL,nr_of_words,"Liczba słów: "
en_US,recommend_error,"We could not find a recommended text for you. Try again!"
en_US,recommend_header,"Recommended text"
en_US,description,"This is a tool that will help you find the right text for your level of English. Just enter your text and we will recommend you a text. You can write about anything you want to, but we recommend that you write about something that you are interested in: sports, art, science etc. We will also tell you the level of your text. For more accurate results, aim to submit a text with 200 words or more. \nHave fun!"
en_US,type_here,"Type here"
en_US,level_message,"The level of your text is: "
en_US,level_error,"You entered empty text!"
en_US,generate_text,"Generate text"
en_US,generate_another,"Generate another text"
en_US,nr_of_words,"Number of words: "
fr_FR,recommend_error,"Nous n'avons pas pu trouver un texte recommandé pour vous. Essayez encore !"
fr_FR,recommend_header,"Texte recommandé"
fr_FR,description,"C'est un outil qui vous aidera à trouver le bon texte pour votre niveau de français. Entrez simplement votre texte et nous vous recommanderons un texte. Vous pouvez écrire sur n'importe quel sujet qui vous intéresse : sport, art, science, etc. Nous vous dirons également le niveau de votre texte. Pour des résultats plus précis, essayez de soumettre un texte de 200 mots ou plus. \nAmusez-vous !"
fr_FR,type_here,"Écrivez ici"
fr_FR,level_message,"Le niveau de votre texte est : "
fr_FR,level_error,"Vous avez entré un texte vide !"
fr_FR,generate_text,"Générer un texte"
fr_FR,generate_another,"Générer un autre texte"
fr_FR,nr_of_words,"Nombre de mots : "
